"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 21 05:20:22 EET 2026","Tue Apr 21 05:20:26 EET 2026","4764","EYOUTH Automation Suite","All Tests","tests.FooterTest","tests.FooterTest","testInstagramLink","TC10 - Verify Instagram link","Click Instagram icon in footer and verify URL contains instagram.com"
"passed","Tue Apr 21 05:19:07 EET 2026","Tue Apr 21 05:19:10 EET 2026","3417","EYOUTH Automation Suite","All Tests","tests.SearchTest","tests.SearchTest","testSearchWithValidKeyword","TC01 - Search with valid keyword","Search using a valid Arabic keyword and assert page title"
"passed","Tue Apr 21 05:19:43 EET 2026","Tue Apr 21 05:19:45 EET 2026","2072","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testLoginEmptyFields","TC06 - Login with empty fields","Click login without entering anything and assert validation messages"
"passed","Tue Apr 21 05:19:15 EET 2026","Tue Apr 21 05:19:30 EET 2026","15179","EYOUTH Automation Suite","All Tests","tests.CourseTest","tests.CourseTest","testCourseCardUI","TC11 - Verify course card UI elements","Verify course card contains image, title, instructor, and enroll button"
"passed","Tue Apr 21 05:20:04 EET 2026","Tue Apr 21 05:20:07 EET 2026","3335","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testRegisterEmptyName","TC04 - Register with empty name","Submit register form without name and assert validation error"
"passed","Tue Apr 21 05:19:35 EET 2026","Tue Apr 21 05:19:38 EET 2026","3185","EYOUTH Automation Suite","All Tests","tests.CourseTest","tests.CourseTest","testOpenCourseDetails","TC02 - Open course details","Navigate to courses, click a course, and verify details page opens"
"passed","Tue Apr 21 05:19:58 EET 2026","Tue Apr 21 05:19:59 EET 2026","934","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testOpenRegistrationPage","TC03 - Open registration page","Navigate to register page and assert URL contains /register"
"passed","Tue Apr 21 05:20:12 EET 2026","Tue Apr 21 05:20:17 EET 2026","5107","EYOUTH Automation Suite","All Tests","tests.FooterTest","tests.FooterTest","testFacebookLink","TC08 - Verify Facebook link","Click Facebook icon in footer and verify URL contains facebook.com"
"passed","Tue Apr 21 05:20:43 EET 2026","Tue Apr 21 05:21:03 EET 2026","20098","EYOUTH Automation Suite","All Tests","tests.E2ETest","tests.E2ETest","testEndToEnd","TC07 - End to End: Login and enroll in a course","Login with valid credentials, go to courses, enroll, and assert course added"
"passed","Tue Apr 21 05:19:49 EET 2026","Tue Apr 21 05:19:54 EET 2026","4621","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testLoginInvalidCredentials","TC05 - Login with invalid credentials","Enter wrong credentials and assert error message is shown"
"passed","Tue Apr 21 05:20:31 EET 2026","Tue Apr 21 05:20:38 EET 2026","6749","EYOUTH Automation Suite","All Tests","tests.FooterTest","tests.FooterTest","testLinkedInLink","TC09 - Verify LinkedIn link","Click LinkedIn icon in footer and verify URL contains linkedin.com"
