"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 21 05:52:14 EET 2026","Tue Apr 21 05:52:22 EET 2026","7826","EYOUTH Automation Suite","All Tests","tests.E2ETest","tests.E2ETest","testEndToEnd","TC07 - End to End: Login and enroll in a course","Login with valid credentials, go to courses, enroll, and assert course added"
"passed","Tue Apr 21 05:50:48 EET 2026","Tue Apr 21 05:51:00 EET 2026","11935","EYOUTH Automation Suite","All Tests","tests.CourseTest","tests.CourseTest","testCourseCardUI","TC11 - Verify course card UI elements","Verify course card contains image, title, instructor, and enroll button"
"passed","Tue Apr 21 05:51:19 EET 2026","Tue Apr 21 05:51:24 EET 2026","4930","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testLoginInvalidCredentials","TC05 - Login with invalid credentials","Enter wrong credentials and assert error message is shown"
"passed","Tue Apr 21 05:52:00 EET 2026","Tue Apr 21 05:52:09 EET 2026","8215","EYOUTH Automation Suite","All Tests","tests.FooterTest","tests.FooterTest","testLinkedInLink","TC09 - Verify LinkedIn link","Click LinkedIn icon in footer and verify URL contains linkedin.com"
"passed","Tue Apr 21 05:51:41 EET 2026","Tue Apr 21 05:51:46 EET 2026","4805","EYOUTH Automation Suite","All Tests","tests.FooterTest","tests.FooterTest","testFacebookLink","TC08 - Verify Facebook link","Click Facebook icon in footer and verify URL contains facebook.com"
"passed","Tue Apr 21 05:51:34 EET 2026","Tue Apr 21 05:51:37 EET 2026","3216","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testRegisterEmptyName","TC04 - Register with empty name","Submit register form without name and assert validation error"
"passed","Tue Apr 21 05:51:05 EET 2026","Tue Apr 21 05:51:08 EET 2026","2875","EYOUTH Automation Suite","All Tests","tests.CourseTest","tests.CourseTest","testOpenCourseDetails","TC02 - Open course details","Navigate to courses, click a course, and verify details page opens"
"passed","Tue Apr 21 05:51:28 EET 2026","Tue Apr 21 05:51:29 EET 2026","998","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testOpenRegistrationPage","TC03 - Open registration page","Navigate to register page and assert URL contains /register"
"passed","Tue Apr 21 05:51:12 EET 2026","Tue Apr 21 05:51:14 EET 2026","2247","EYOUTH Automation Suite","All Tests","tests.AuthTest","tests.AuthTest","testLoginEmptyFields","TC06 - Login with empty fields","Click login without entering anything and assert validation messages"
"passed","Tue Apr 21 05:51:51 EET 2026","Tue Apr 21 05:51:56 EET 2026","5082","EYOUTH Automation Suite","All Tests","tests.FooterTest","tests.FooterTest","testInstagramLink","TC10 - Verify Instagram link","Click Instagram icon in footer and verify URL contains instagram.com"
"passed","Tue Apr 21 05:50:40 EET 2026","Tue Apr 21 05:50:43 EET 2026","2955","EYOUTH Automation Suite","All Tests","tests.SearchTest","tests.SearchTest","testSearchWithValidKeyword","TC01 - Search with valid keyword","Search using a valid Arabic keyword and assert page title"
